dt,residual
-245.0,1334110.6814882467
-240.0,1331114.7637055703
-235.0,1328065.6735635102
-230.0,1324963.4757750183
-225.0,1321808.2364318492
-220.0,1318600.0229970962
-215.0,1315338.9042975707
-210.0,1312024.9505160786
-205.0,1308658.23318356
-200.0,1305238.8251711233
-195.0,1301766.8006775351
-190.0,1298242.2352310224
-185.0,1294665.205677596
-180.0,1291035.7901671445
-175.0,1287354.0681481725
-170.0,1283620.120359146
-165.0,1279834.028819764
-160.0,1275995.8768221037
-155.0,1272105.748921671
-150.0,1268163.7309283707
-145.0,1264169.909897359
-140.0,1260124.3741198173
-135.0,1256027.2131136209
-130.0,1251878.51761394
-125.0,1247678.3795637311
-120.0,1243426.8921041666
-115.0,1239124.1495649638
-110.0,1234770.24745462
-105.0,1230365.2824506517
-100.0,1225909.3523896197
-95.0,1221402.5562572153
-90.0,1216844.9941781973
-85.0,1212236.767406282
-80.0,1207577.9783139704
-75.0,1202868.7303917436
-70.0,1198109.128216425
-65.0,1193299.2774479361
-60.0,1188439.2848306652
-55.0,1183529.2581759924
-50.0,1178569.3063517492
-45.0,1173559.5392716713
-40.0,1168500.0678847525
-35.0,1163391.0041645905
-30.0,1158232.4610986682
-25.0,1153024.5526775923
-20.0,1147767.3938843012
-15.0,1142461.100683231
-10.0,1137105.7900094558
-5.0,1131701.579757776
0.0,1126248.588771782
5.0,1120746.9368329002
10.0,1115196.7446494056
15.0,1109598.1338454029
20.0,1103951.2269497905
25.0,1098256.1473852005
30.0,1092513.0194569305
35.0,1086721.9683418432
40.0,1080883.1200772738
45.0,1074996.6015350576
50.0,1069062.5404440342
55.0,1063081.0653675403
60.0,1057052.3056738516
65.0,1050976.3915359937
70.0,1044853.4539206084
75.0,1038683.6245767958
80.0,1032467.036024943
85.0,1026203.8215455804
90.0,1019894.1151682455
95.0,1013538.0516603021
100.0,1007135.7665158547
105.0,1000687.3959445832
110.0,994193.0768606616
115.0,987652.9468716457
120.0,981067.1442673923
125.0,974435.8080090024
130.0,967759.0777177699
135.0,961037.0936641647
140.0,954269.9967568265
145.0,947457.9285315843
150.0,940601.0311405146
155.0,933699.4473410146
160.0,926753.320484899
165.0,919762.7945250161
170.0,912728.0139647294
175.0,905649.123860633
180.0,898526.2698334865
185.0,891359.5980444923
190.0,884149.2551846402
195.0,876895.3884640178
200.0,869598.1456012456
205.0,862257.6748128915
210.0,854874.1248029443
215.0,847447.644752359
220.0,839978.3843086082
225.0,832466.493575302
230.0,824912.1231018566
235.0,817315.4238731889
240.0,809676.5472995006
245.0,801995.645206063
250.0,794272.8698231159
255.0,786508.373775743
260.0,778702.3100738823
265.0,770854.8321023313
270.0,762966.0936108287
275.0,755036.2487042015
280.0,747065.4518325534
285.0,739053.8577644015
290.0,731001.6216159659
295.0,722908.8988281656
300.0,714775.8451358024
305.0,706602.6165708266
310.0,698389.3694528835
315.0,690136.2603799421
320.0,681843.4462189702
325.0,673511.0840966906
330.0,665139.3313903855
335.0,656728.3457187908
340.0,648278.2849330315
345.0,639789.3071076442
350.0,631261.570531656
355.0,622695.2336997502
360.0,614090.455303466
365.0,605447.3942225194
370.0,596766.2095161332
375.0,588047.0604144931
380.0,579290.106310253
385.0,570495.506750104
390.0,561663.4214264099
395.0,552794.0101689659
400.0,543887.4329367513
405.0,534943.8498255769
410.0,525963.4210241279
415.0,516946.3068183381
420.0,507892.6676030485
425.0,498802.66386238486
430.0,489676.45616202336
435.0,480514.20514149684
440.0,471316.0715065878
445.0,462082.2160218116
450.0,452812.79950294737
455.0,443507.98280964233
460.0,434167.92683813814
465.0,424792.7925140178
470.0,415382.74078505207
475.0,405937.9326141337
480.0,396458.5289722476
485.0,386944.690831569
490.0,377396.57915859483
495.0,367814.35490737855
500.0,358198.1790128052
505.0,348548.21238399483
510.0,338864.6158977188
515.0,329147.5503919646
520.0,319397.17665948346
525.0,309613.65542690083
530.0,299797.1473817546
535.0,289947.8131548017
540.0,280065.813295817
545.0,270151.30827847496
550.0,260204.45849438198
555.0,250225.42424719594
560.0,240214.36574683152
565.0,230171.44310370646
570.0,220096.8163230829
575.0,209990.64529949985
580.0,199853.08981124125
585.0,189684.30951490067
590.0,179484.4639400076
595.0,169253.71248375997
600.0,158992.21440575086
605.0,148700.12882287242
610.0,138377.614704201
615.0,128024.830866009
620.0,117641.93596681207
625.0,107229.08850253187
630.0,96786.44680166617
635.0,86314.16902059875
640.0,75812.41313892417
645.0,65281.33696844615
650.0,54721.098117720336
655.0,44131.8539982941
660.0,33513.7618371509
665.0,22866.978662280366
670.0,12191.661298433319
675.0,1487.9663629457355
680.0,-9243.949738340452
685.0,-20003.930815139785
690.0,-30791.820896692574
695.0,-41607.46423565224
700.0,-52450.70531194471
705.0,-63321.388836542144
710.0,-74219.3597551696
715.0,-85144.46325195208
720.0,-96096.54475301504
725.0,-107075.44992998987
730.0,-118081.02470348775
735.0,-129113.11524648964
740.0,-140171.5679876972
745.0,-151256.2296148017
750.0,-162366.94707769528
755.0,-173503.56759164482
760.0,-184665.93864038028
765.0,-195853.90799137577
770.0,-207067.32367094234
775.0,-218306.03397678025
780.0,-229569.88749599457
785.0,-240858.73309879377
790.0,-252172.41994125582
795.0,-263510.79746799543
800.0,-274873.7154148575
805.0,-286261.02381146513
810.0,-297672.5729837939
815.0,-309108.2135566268
820.0,-320567.7964559924
825.0,-332051.172911549
830.0,-343558.19445890374
835.0,-355088.71294188127
840.0,-366642.5805147495
845.0,-378219.64964438975
850.0,-389819.7731124107
855.0,-401442.8040172234
860.0,-413088.59577605873
865.0,-424757.00212693773
870.0,-436447.8771305941
875.0,-448161.07517234795
880.0,-459896.4509639349
885.0,-471653.85953479446
890.0,-483433.1562576704
895.0,-495234.19684212096
900.0,-507056.8373231236
905.0,-518900.93407049775
910.0,-530766.3437904455
915.0,-542652.9235270657
920.0,-554560.5306638088
925.0,-566489.0229249038
930.0,-578438.2583767045
935.0,-590408.0954290647
940.0,-602398.3928366024
945.0,-614409.0096999574
950.0,-626439.8054670058
955.0,-638490.6399340201
960.0,-650561.3732468132
965.0,-662651.8659018185
970.0,-674761.9787471592
975.0,-686891.5729836393
980.0,-699040.510165751
985.0,-711208.6522025969
990.0,-723395.861358786
995.0,-735602.0002553388
1000.0,-747826.9318704754
1005.0,-760070.5195490103
1010.0,-772332.6269836128
1015.0,-784613.1182222217
1020.0,-796911.8576793708
1025.0,-809228.7101304643
1030.0,-821563.5407124199
1035.0,-833916.214924261
1040.0,-846286.5986276902
1045.0,-858674.5580476187
1050.0,-871079.9597726632
1055.0,-883502.6707556471
1060.0,-895942.5583140217
1065.0,-908399.4901302736
1070.0,-920873.3342523407
1075.0,-933363.9590939283
1080.0,-945871.2334348764
1085.0,-958395.026421424
1090.0,-970935.2075664923
1095.0,-983491.6467499416
1100.0,-996064.214218758
1105.0,-1008652.7805872783
1110.0,-1021257.2168373223
1115.0,-1033877.3943183515
1120.0,-1046513.1847475674
1125.0,-1059164.4602026548
1130.0,-1071831.0931385774
1135.0,-1084512.9563818686
1140.0,-1097209.923121523
1145.0,-1109921.8669144623
1150.0,-1122648.6616855077
1155.0,-1135390.1817273125
1160.0,-1148146.3017002922
1165.0,-1160916.8966325093
1170.0,-1173701.8419195656
1175.0,-1186501.013324445
1180.0,-1199314.2869773526
1185.0,-1212141.5393755268
1190.0,-1224982.647383025
1195.0,-1237837.4882305171
