dt,residual
-1200.0,939394.9990257192
-1195.0,946030.7339500245
-1190.0,952626.3054813202
-1185.0,959181.552205273
-1180.0,965696.3130601905
-1175.0,972170.4273474105
-1170.0,978603.7347416794
-1165.0,984996.0753016435
-1160.0,991347.2894803425
-1155.0,997657.2181337029
-1150.0,1003925.7025359552
-1145.0,1010152.5843886798
-1140.0,1016337.705828826
-1135.0,1022480.9094411405
-1130.0,1028582.0382689256
-1125.0,1034640.9358249325
-1120.0,1040657.4461022373
-1115.0,1046631.4135852112
-1110.0,1052562.683260465
-1105.0,1058451.100627915
-1100.0,1064296.5117118116
-1095.0,1070098.7630718537
-1090.0,1075857.701814306
-1085.0,1081573.175603184
-1080.0,1087245.0326714097
-1075.0,1092873.1218320988
-1070.0,1098457.2924897475
-1065.0,1103997.3946515834
-1060.0,1109493.2789388038
-1055.0,1114944.7965979604
-1050.0,1120351.7995122857
-1045.0,1125714.140213062
-1040.0,1131031.6718910476
-1035.0,1136304.2484080857
-1030.0,1141531.7243079366
-1025.0,1146713.9548280127
-1020.0,1151850.7959110793
-1015.0,1156942.104216529
-1010.0,1161987.7371318443
-1005.0,1166987.5527840815
-1000.0,1171941.4100513188
-995.0,1176849.1685741525
-990.0,1181710.6887671733
-985.0,1186525.8318304345
-980.0,1191294.459760923
-975.0,1196016.4353640238
-970.0,1200691.6222649897
-965.0,1205319.884920367
-960.0,1209901.0886294367
-955.0,1214435.099545652
-950.0,1218921.7846880108
-945.0,1223361.011952472
-940.0,1227752.6501233075
-935.0,1232096.5688844398
-930.0,1236392.6388307624
-925.0,1240640.7314794483
-920.0,1244840.7192811836
-915.0,1248992.4756338745
-910.0,1253095.8748883177
-905.0,1257150.7923611375
-900.0,1261157.1043490386
-895.0,1265114.6881380258
-890.0,1269023.4220144842
-885.0,1272883.1852761554
-880.0,1276693.8582430976
-875.0,1280455.3222685736
-870.0,1284167.4597499184
-865.0,1287830.1541393362
-860.0,1291443.2899546167
-855.0,1295006.7527898485
-850.0,1298520.4293260109
-845.0,1301984.2073415648
-840.0,1305397.975722921
-835.0,1308761.6244748933
-830.0,1312075.0447310153
-825.0,1315338.1287638722
-820.0,1318550.7699952824
-815.0,1321712.8630064465
-810.0,1324824.3035479933
-805.0,1327884.9885499617
-800.0,1330894.816131699
-795.0,1333853.6856089672
-790.0,1336761.4975097273
-785.0,1339618.1535817813
-780.0,1342423.5567989312
-775.0,1345177.6113724122
-770.0,1347880.2227602508
-765.0,1350531.297676498
-760.0,1353130.744100375
-755.0,1355678.4712853301
-750.0,1358174.3897679672
-745.0,1360618.411376872
-740.0,1363010.4492413271
-735.0,1365350.4177999496
-730.0,1367638.232809159
-725.0,1369873.811351561
-720.0,1372057.0718442304
-715.0,1374187.934046818
-710.0,1376266.3190696156
-705.0,1378292.1493814103
-700.0,1380265.3488172945
-695.0,1382185.842586278
-690.0,1384053.557278823
-685.0,1385868.4208742296
-680.0,1387630.362747874
-675.0,1389339.3136776024
-670.0,1390995.2058523865
-665.0,1392597.972878566
-660.0,1394147.5497856522
-655.0,1395643.8730334332
-650.0,1397086.8805183982
-645.0,1398476.5115799913
-640.0,1399812.707006758
-635.0,1401095.4090423044
-630.0,1402324.5613911226
-625.0,1403500.1092242915
-620.0,1404621.9991849624
-615.0,1405690.1793937543
-610.0,1406704.5994539643
-605.0,1407665.2104566162
-600.0,1408571.9649853641
-595.0,1409424.8171212384
-590.0,1410223.7224472072
-585.0,1410968.6380526284
-580.0,1411659.5225374596
-575.0,1412296.3360163914
-570.0,1412879.040122753
-565.0,1413407.598012277
-560.0,1413881.9743666882
-555.0,1414302.1354012433
-550.0,1414668.0488586593
-545.0,1414979.6840153988
-540.0,1415237.011689647
-535.0,1415440.0042410586
-530.0,1415588.63557328
-525.0,1415682.8811364044
-520.0,1415722.717929163
-515.0,1415708.1245010216
-510.0,1415639.0809540302
-505.0,1415515.568944552
-500.0,1415337.5716848066
-495.0,1415105.0739442082
-490.0,1414818.0620505698
-485.0,1414476.5238910988
-480.0,1414080.4489132343
-475.0,1413629.8281253139
-470.0,1413124.6540970365
-465.0,1412564.9209597707
-460.0,1411950.6244067065
-455.0,1411281.761692753
-450.0,1410558.3316343622
-445.0,1409780.3346091174
-440.0,1408947.772555138
-435.0,1408060.6489662388
-430.0,1407118.9689002996
-425.0,1406122.738975008
-420.0,1405071.9673614586
-415.0,1403966.663785778
-410.0,1402806.8395274635
-405.0,1401592.50741761
-400.0,1400323.6818368984
-395.0,1399000.378713482
-390.0,1397622.6155206375
-385.0,1396190.4112742748
-380.0,1394703.786530286
-375.0,1393162.7633817028
-370.0,1391567.3654557066
-365.0,1389917.617910429
-360.0,1388213.547431644
-355.0,1386455.1822292637
-350.0,1384642.5520336442
-345.0,1382775.6880917726
-340.0,1380854.6231632847
-335.0,1378879.3915162627
-330.0,1376850.0289229667
-325.0,1374766.5726553118
-320.0,1372629.0614802903
-315.0,1370437.5356579386
-310.0,1368192.0369300274
-305.0,1365892.6085170861
-300.0,1363539.295116702
-295.0,1361132.1428959863
-290.0,1358671.199486033
-285.0,1356156.5139762089
-280.0,1353588.1369083002
-275.0,1350966.1202705232
-270.0,1348290.5174913649
-265.0,1345561.3834333094
-260.0,1342778.774386431
-255.0,1339942.7480617883
-250.0,1337053.3635847736
