epoch_utc,station,satellite,obs_range_m,obs_range_corrected_m,model_range_m,tropo_delay_m,com_correction_m,tide_radial_m,ocean_radial_m,shapiro_delay_m,residual_m,residual_mm,elevation_deg,elev_reported_deg,np2_file
2024-01-20T00:18:24.200121Z,1873,lageos1,7191070.518171552,7191052.438340905,9079619.39658142,18.311926895415397,0.251,0.1213236569007449,-0.006114354650427551,0.018903750687684816,-1888566.9582405156,-1888566958.2405155,13.717759636044494,,allsat_20240121.np2
2024-01-20T00:23:15.400120Z,1873,lageos1,7554147.700468572,7554129.620637195,9079619.396594789,18.31192762620008,0.251,0.12128783814923597,-0.006420344826802742,0.018903750688134647,-1525489.7759575937,-1525489775.9575937,13.717759638868529,,allsat_20240121.np2
2024-01-20T00:25:00.200121Z,1873,lageos1,7730516.370978665,7730498.291147026,9079619.39659943,18.311927887612704,0.251,0.12127485785478062,-0.00652963571022463,0.018903750688295213,-1349121.1054524044,-1349121105.4524043,13.717759639880263,,allsat_20240121.np2
2024-01-16T17:42:37.600121Z,1873,lageos1,6577116.888275193,6577098.8081732495,9079619.471717533,18.31219819249214,0.251,-0.00968114185195035,-0.0014846895012006743,0.01890375102941422,-2502520.6635442832,-2502520663.5442834,13.717759924345863,,allsat_20240121.np2
2024-01-16T17:45:03.600120Z,1873,lageos1,6398880.289205134,6398862.209103663,9079619.471666165,18.312197720137103,0.251,-0.009555057853310654,-0.0013901470160412673,0.01890375102901706,-2680757.2625625012,-2680757262.5625014,13.717759922983264,,allsat_20240121.np2
2024-01-16T17:46:08.400121Z,1873,lageos1,6336835.231005132,6336817.15090387,9079619.47164347,18.312197511523923,0.251,-0.009499100644891952,-0.0013486638859779867,0.018903751028841637,-2742802.3207396,-2742802320.7395997,13.717759922381573,,allsat_20240121.np2
2024-01-16T17:48:36.600123Z,1873,lageos1,6237185.629089032,6237167.5489882445,9079619.471591804,18.3121970368508,0.251,-0.009371132296569763,-0.001254924086000205,0.018903751028442415,-2842451.9226035597,-2842451922.6035595,13.717759921012785,,allsat_20240121.np2
2024-01-16T17:50:34.200120Z,1873,lageos1,6201822.057230399,6201803.977129986,9079619.471551057,18.312196662664807,0.251,-0.00926959437773115,-0.001181687738967501,0.01890375102812766,-2877815.4944210714,-2877815494.4210715,13.717759919933995,,allsat_20240121.np2
2024-01-16T17:54:32.000108Z,1873,lageos1,6251907.832469713,6251889.752370049,9079619.471469348,18.312195912933817,0.251,-0.009064295078652213,-0.0010368044096818183,0.01890375102749684,-2827729.719099299,-2827729719.099299,13.717759917773172,,allsat_20240121.np2
2024-01-16T18:01:16.400129Z,1873,lageos1,6693060.676760658,6693042.596662247,9079619.471332636,18.31219466020799,0.251,-0.008715232069840807,-0.00080074401077561,0.018903751026442334,-2386576.874670389,-2386576874.670389,13.717759914164644,,allsat_20240121.np2
2024-01-16T18:02:44.200121Z,1873,lageos1,6841099.945707352,6841081.865609209,9079619.471303342,18.312194392086564,0.251,-0.008639457708273787,-0.0007512832748597987,0.01890375102621656,-2238537.605694133,-2238537605.694133,13.717759913392657,,allsat_20240121.np2
2024-01-16T18:05:17.600120Z,1873,lageos1,7137201.328835314,7137183.248737636,9079619.471252508,18.312193927051467,0.251,-0.008507078066712971,-0.0006664540049125762,0.018903751025824898,-1942436.2225148724,-1942436222.5148726,13.717759912054007,,allsat_20240121.np2
2024-01-16T18:07:27.800109Z,1873,lageos1,7421387.149085806,7421369.068988519,9079619.471209716,18.31219353582094,0.251,-0.008394729214558982,-0.000596066627038958,0.01890375102549533,-1658250.4022211973,-1658250402.2211974,13.717759910928082,,allsat_20240121.np2
2024-01-16T21:27:44.800121Z,1873,lageos1,6596540.85039603,6596522.770317994,9079619.468996309,18.312174285216695,0.251,0.0019258969842745263,-0.00192411167034794,0.01890375100900829,-2483096.6986783147,-2483096698.6783147,13.7177598566859,,allsat_20240121.np2
2024-01-16T21:29:30.600121Z,1873,lageos1,6711064.199431264,6711046.119353269,9079619.46898986,18.31217424365758,0.251,0.0020162476372296845,-0.0019950368238302353,0.018903751008968513,-2368573.349636591,-2368573349.636591,13.717759856586767,,allsat_20240121.np2
2024-01-16T21:30:21.000100Z,1873,lageos1,6776062.733782271,6776044.653704296,9079619.468986826,18.3121742242537,0.251,0.0020592843101459625,-0.002029002894641951,0.01890375100894988,-2303574.81528253,-2303574815.2825303,13.717759856540724,,allsat_20240121.np2
2024-01-16T21:33:21.800123Z,1873,lageos1,7060305.5131008215,7060287.433022914,9079619.468976125,18.312174156634736,0.251,0.0022136503677401623,-0.002151759926970916,0.018903751008884633,-2019332.0359532107,-2019332035.9532106,13.717759856381678,,allsat_20240121.np2
2024-01-16T21:34:54.000109Z,1873,lageos1,7233243.67320385,7233225.593125976,9079619.468970774,18.312174123299215,0.251,0.0022923583632577446,-0.002214884125210344,0.01890375100885227,-1846393.875844798,-1846393875.844798,13.717759856304083,,allsat_20240121.np2
2024-01-18T02:45:24.400123Z,1873,lageos1,6411375.832970191,6411357.753051713,9079619.44145867,18.312014726846463,0.251,0.08102836317550777,-0.006567118455064539,0.018903750849477204,-2668261.6884069573,-2668261688.406957,13.717759506699618,,allsat_20240121.np2
2024-01-18T02:47:25.600120Z,1873,lageos1,6305717.443900876,6305699.363982808,9079619.441393908,18.312014317171684,0.251,0.08110072995631898,-0.006448308289270429,0.018903750849082454,-2773920.0774111003,-2773920077.4111004,13.717759505736877,,allsat_20240121.np2
2024-01-18T02:48:44.800121Z,1873,lageos1,6260142.460355452,6260124.380437654,9079619.441351268,18.312014046647327,0.251,0.0811479898597712,-0.006369326022531402,0.018903750848822096,-2819495.060913614,-2819495060.913614,13.71775950509976,,allsat_20240121.np2
2024-01-18T02:51:03.200122Z,1873,lageos1,6226688.019782732,6226669.939865413,9079619.44127616,18.31201356861186,0.251,0.08123051972858845,-0.006228775159473801,0.018903750848362617,-2852949.501410746,-2852949501.410746,13.717759503971392,,allsat_20240121.np2
2024-01-18T02:52:46.400129Z,1873,lageos1,6240529.149318143,6240511.069401184,9079619.441219661,18.312013207803368,0.251,0.08129201327047147,-0.006121890811114597,0.018903750848016296,-2839108.3718184773,-2839108371.818477,13.717759503117623,,allsat_20240121.np2
2024-01-18T02:54:45.200123Z,1873,lageos1,6297201.0713629015,6297182.991446363,9079619.441154106,18.312012787877926,0.251,0.08136275358732599,-0.005996667507938422,0.01890375084761373,-2782436.449707743,-2782436449.7077427,13.717759502121838,,allsat_20240121.np2
2024-01-17T20:01:13.699005Z,1893,lageos1,5975401.877609044,5975383.1167560145,9082203.86370317,18.99294246812056,0.251,0.06562868976053784,0.0010139002876917971,0.018910561877374082,-3106820.7469471563,-3106820746.9471564,13.692461623702494,,allsat_20240121.np2
2024-01-17T20:03:06.291789Z,1893,lageos1,5978543.577855223,5978524.817002378,9082203.863668395,18.992942283035653,0.251,0.06570531178830585,0.0010205163218815387,0.01891056187718571,-3103679.046666017,-3103679046.6660166,13.692461623354617,,allsat_20240121.np2
2024-01-17T20:04:49.885167Z,1893,lageos1,6017896.294586327,6017877.533733649,9082203.863636767,18.99294211636955,0.251,0.06577577366466136,0.001025010758997797,0.01891056187701529,-3064326.3299031183,-3064326329.903118,13.692461623044707,,allsat_20240121.np2
2024-01-17T20:06:49.877476Z,1893,lageos1,6106095.627108981,6106076.866256491,9082203.863600574,18.99294192764394,0.251,0.06585734671439993,0.0010283084479173602,0.01891056187682137,-2976126.997344083,-2976126997.3440833,13.692461622697909,,allsat_20240121.np2
2024-01-17T20:08:34.070827Z,1893,lageos1,6218121.794457124,6218103.033604794,9082203.863569532,18.992941767541836,0.251,0.06592814185409146,0.0010295108834250718,0.018910561876656018,-2864100.8299647374,-2864100829.9647374,13.692461622407395,,allsat_20240121.np2
